timestamp,epoch_time,image_filename,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,gps_utc,gps_lat,gps_ns,gps_lon,gps_ew,gps_speed_kn,gps_course_deg,gps_valid
2025-11-01_15-50-54-691,1761992454.6915507,images/image_2025-11-01_15-50-54-691_0103.jpg,-0.1099,0.1157,1.0796,1.588,24.046,20.198,102054.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-55-114,1761992455.114455,images/image_2025-11-01_15-50-55-114_0104.jpg,-0.1326,0.2915,1.0522,-3.489,6.214,18.573,102055.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-55-603,1761992455.6033516,images/image_2025-11-01_15-50-55-603_0105.jpg,0.113,0.2227,0.9373,28.397,-1.969,23.557,102055.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-56-107,1761992456.10756,images/image_2025-11-01_15-50-56-107_0106.jpg,0.0042,0.1433,1.0139,-16.145,8.634,14.71,102056.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-56-548,1761992456.549096,images/image_2025-11-01_15-50-56-548_0107.jpg,0.0034,0.3933,0.9775,19.824,10.137,1.527,102056.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-57-085,1761992457.0855494,images/image_2025-11-01_15-50-57-085_0108.jpg,-0.0845,0.2197,0.9565,-5.718,16.282,-7.313,102057.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-57-506,1761992457.5063183,images/image_2025-11-01_15-50-57-506_0109.jpg,-0.0896,0.3599,0.9902,18.244,4.061,-17.229,102057.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-57-995,1761992457.9952443,images/image_2025-11-01_15-50-57-995_0110.jpg,-0.0564,0.2737,0.9556,-33.939,-19.45,7.656,102057.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-58-432,1761992458.4322937,images/image_2025-11-01_15-50-58-432_0111.jpg,-0.0186,0.2761,0.9509,16.366,-14.198,14.908,102058.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-58-913,1761992458.9139512,images/image_2025-11-01_15-50-58-913_0112.jpg,0.009,0.165,1.0015,-16.931,9.137,14.092,102058.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-59-346,1761992459.3466876,images/image_2025-11-01_15-50-59-346_0113.jpg,-0.0605,0.1226,1.0464,-11.718,8.412,20.847,102059.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-59-832,1761992459.832825,images/image_2025-11-01_15-50-59-832_0114.jpg,0.0178,0.1675,1.0745,8.023,16.252,-3.519,102059.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-51-00-305,1761992460.305155,images/image_2025-11-01_15-51-00-305_0115.jpg,-0.001,0.1699,0.8323,-9.985,-3.107,0.504,102100.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-51-00-719,1761992460.7196934,images/image_2025-11-01_15-51-00-719_0116.jpg,-0.0107,0.2708,0.9966,-0.092,6.58,-15.847,102100.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-51-01-142,1761992461.1426458,images/image_2025-11-01_15-51-01-142_0117.jpg,0.031,0.1384,1.0388,-26.901,3.786,1.389,102101.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-51-01-648,1761992461.6487935,images/image_2025-11-01_15-51-01-648_0118.jpg,-0.054,0.2024,0.9114,17.168,13.137,-10.26,102101.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-51-02-123,1761992462.1232333,images/image_2025-11-01_15-51-02-123_0119.jpg,0.0667,0.2568,0.8623,1.275,-18.076,4.702,102102.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-51-02-533,1761992462.533751,images/image_2025-11-01_15-51-02-533_0120.jpg,0.0562,0.2625,0.9097,32.183,9.092,-10.687,102102.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-51-02-959,1761992462.9599497,images/image_2025-11-01_15-51-02-959_0121.jpg,-0.0425,0.2712,1.0227,4.359,6.397,9.13,102102.00,N/A,N/A,N/A,N/A,N/A,N/A,V
